A,B,C,D,E,Time
0,29.9,269,659.8,48.5,2020-01-17 13:28:32
0,29.74,272,659.8,49.4,2020-01-17 13:28:37
0,29.96,274,659.8,51,2020-01-17 13:28:41
0,30.08,268,659.8,48.9,2020-01-17 13:28:45
0,30.25,273,659.8,49.1,2020-01-17 13:28:49
0,30.22,270,659.8,48.9,2020-01-17 13:28:53
0,30.07,270,659.8,47.5,2020-01-17 13:28:58
0,29.78,272,659.8,50.1,2020-01-17 13:29:02
0,29.09,270,659.8,48.9,2020-01-17 13:29:06
0,28.76,272,659.8,48.9,2020-01-17 13:29:10
0,28.38,270,659.8,48,2020-01-17 13:29:14
0,27.99,272,659.8,48.6,2020-01-17 13:29:18
0,27.75,273,659.8,49.1,2020-01-17 13:29:23
0,27.48,269,659.8,48.9,2020-01-17 13:29:27
0,27.34,268,659.8,46.7,2020-01-17 13:29:31
0,27.25,269,659.8,48.5,2020-01-17 13:29:35
0,27.27,269,659.8,50.2,2020-01-17 13:29:39
0,27.42,271,659.8,48.9,2020-01-17 13:29:44
0,27.85,272,659.8,48.1,2020-01-17 13:29:48
0,28.45,267,659.8,49.1,2020-01-17 13:29:52
0,29,269,659.8,48.1,2020-01-17 13:29:56
0,29.43,270,659.8,49.1,2020-01-17 13:30:00
0,29.79,272,659.8,47.2,2020-01-17 13:30:05
0,29.71,270,659.8,48.9,2020-01-17 13:30:09
0,30.52,272,659.8,50.2,2020-01-17 13:30:13
0,30.7,271,659.8,48,2020-01-17 13:30:17
0,30.66,269,659.8,48.9,2020-01-17 13:30:21
0,30.43,272,659.8,48.6,2020-01-17 13:30:26
0,30.3,272,659.8,48.6,2020-01-17 13:30:30
0,30.01,272,659.8,49.6,2020-01-17 13:30:34
0,29.43,272,659.8,47.5,2020-01-17 13:30:38
0,28.55,268,659.8,48.3,2020-01-17 13:30:42
0,27.83,269,659.8,48.9,2020-01-17 13:30:46
0,27.61,273,659.8,49.1,2020-01-17 13:30:51
0,27.28,269,659.8,50.1,2020-01-17 13:30:55
0,26.42,270,659.8,49.1,2020-01-17 13:30:59
0,23.23,270,659.8,48.9,2020-01-17 13:31:03
0,24.1,272,659.8,48.5,2020-01-17 13:31:07
0,25.39,269,659.8,48.9,2020-01-17 13:31:12
0,26.59,270,659.8,48.9,2020-01-17 13:31:16
0,26.49,267,659.8,47.8,2020-01-17 13:31:20
0,25.8,272,659.8,48.9,2020-01-17 13:31:24
0,24.66,269,659.8,49.9,2020-01-17 13:31:28
0,22.84,274,659.8,47.5,2020-01-17 13:31:33
0,22.92,270,659.8,48.9,2020-01-17 13:31:37
0,22.19,268,659.8,48.9,2020-01-17 13:31:41
0,21.61,270,659.8,48.9,2020-01-17 13:31:45
0,21.91,268,659.8,50.1,2020-01-17 13:31:49
0,22.86,269,659.8,48,2020-01-17 13:31:54
0,24.22,271,659.8,48.6,2020-01-17 13:31:58
0,25.11,270,659.8,48.8,2020-01-17 13:32:02
0,24.14,272,659.8,48.8,2020-01-17 13:32:06
0,22.11,272,659.8,48,2020-01-17 13:32:10
0,20.6,271,659.8,48.9,2020-01-17 13:32:14
0,20.49,272,659.8,50.1,2020-01-17 13:32:19
0,20.2,267,659.8,48.8,2020-01-17 13:32:23
0,21.02,272,659.8,48.9,2020-01-17 13:32:27
0,22.72,271,659.8,49.1,2020-01-17 13:32:31
0,22.58,272,659.8,49.7,2020-01-17 13:32:36
0,22.03,273,659.8,49.1,2020-01-17 13:32:40
0,21.15,268,659.8,48.9,2020-01-17 13:32:44
0,21.14,271,659.8,48.8,2020-01-17 13:32:48
0,21.11,269,659.8,48.9,2020-01-17 13:32:52
0,21.41,269,659.8,49.7,2020-01-17 13:32:56
0,22.28,274,659.8,48.5,2020-01-17 13:33:01
0,22.85,273,659.8,45.6,2020-01-17 13:33:05
0,23,272,659.8,48.3,2020-01-17 13:33:09
0,23.17,272,659.8,48.5,2020-01-17 13:33:13
0,23.6,271,659.8,49.1,2020-01-17 13:33:17
0,24.02,272,659.8,48.9,2020-01-17 13:33:22
0,24.33,268,659.8,47.5,2020-01-17 13:33:26
0,24.02,271,659.8,48,2020-01-17 13:33:30
0,24.47,270,659.8,49.1,2020-01-17 13:33:34
0,25.01,263,659.8,49.6,2020-01-17 13:33:39
0,23.46,272,659.8,48.1,2020-01-17 13:33:43
0,21.38,268,659.8,49.3,2020-01-17 13:33:47
0,19.47,270,659.8,48.6,2020-01-17 13:33:51
0,18.46,271,659.8,47.3,2020-01-17 13:33:58
0,17.24,265,659.8,47.5,2020-01-17 13:34:02
0,17.44,267,659.8,49.9,2020-01-17 13:34:06
0,17.59,272,659.8,49.4,2020-01-17 13:34:10
0,18.05,267,659.8,48.9,2020-01-17 13:34:14
0,18.61,265,659.8,50.5,2020-01-17 13:34:19
0,18.98,265,659.8,47.2,2020-01-17 13:34:23
0,19.43,269,659.8,48.9,2020-01-17 13:34:27
0,19.91,271,659.8,49.1,2020-01-17 13:34:31
0,20.3,269,659.8,48.9,2020-01-17 13:34:35
0,19.85,270,659.8,48.9,2020-01-17 13:34:40
0,20.11,269,659.8,48.8,2020-01-17 13:34:44
0,21.13,269,659.8,48.5,2020-01-17 13:34:48
0,20.99,270,659.8,48.8,2020-01-17 13:34:52
0,20.22,270,659.8,48.9,2020-01-17 13:34:56
0,19.09,272,659.8,48,2020-01-17 13:35:01
0,17.85,269,659.8,50.7,2020-01-17 13:35:05
0,17.21,261,659.8,48.6,2020-01-17 13:35:09
0,16.49,273,659.8,48.9,2020-01-17 13:35:17
0,16.04,268,659.8,49.7,2020-01-17 13:35:29
0,16.12,270,659.8,49.1,2020-01-17 13:35:37
0,15.99,271,659.8,49.9,2020-01-17 13:35:45
0,15.25,272,659.8,48.9,2020-01-17 13:35:54
0,14.33,267,659.8,48.8,2020-01-17 13:36:00
0,14.22,268,659.8,49.6,2020-01-17 13:36:04
0,14.28,271,659.8,48.1,2020-01-17 13:36:08
0,14.22,270,659.8,47.5,2020-01-17 13:36:13
0,14.25,272,659.8,46.5,2020-01-17 13:36:18
0,14.81,269,659.8,48.8,2020-01-17 13:36:22
0,15.57,267,659.8,48,2020-01-17 13:36:26
0,17.21,269,659.8,50.4,2020-01-17 13:36:31
0,17.9,267,659.8,48.3,2020-01-17 13:36:35
0,17.82,273,659.8,48.9,2020-01-17 13:36:39
0,18.3,272,659.8,49.1,2020-01-17 13:36:44
0,19.51,270,659.8,48.6,2020-01-17 13:36:48
0,20.32,272,659.8,48.9,2020-01-17 13:36:52
0,21.28,269,659.8,48.1,2020-01-17 13:36:56
0,20.92,269,659.8,48.1,2020-01-17 13:37:00
0,18.57,266,659.8,49.1,2020-01-17 13:37:05
0,17.11,270,659.8,48.8,2020-01-17 13:37:09
1,15.61,274,659.8,48,2020-01-17 13:37:13
0,15.11,271,659.8,49.1,2020-01-17 13:37:17
0,15.59,270,659.8,47.8,2020-01-17 13:37:22
0,15.97,268,659.8,48.9,2020-01-17 13:37:26
0,15.87,268,659.8,48,2020-01-17 13:37:30
0,16.4,270,659.8,48,2020-01-17 13:37:34
0,17.31,266,659.8,47.8,2020-01-17 13:37:38
0,18.06,272,659.8,48.9,2020-01-17 13:37:43
0,19.5,265,659.8,47.6,2020-01-17 13:37:47
0,20.6,269,659.8,50.7,2020-01-17 13:37:51
0,21.12,267,659.8,48.9,2020-01-17 13:37:55
0,21.38,268,659.8,48.6,2020-01-17 13:37:59
0,21.39,267,659.8,48.3,2020-01-17 13:38:03
0,20.48,269,659.8,47.8,2020-01-17 13:38:08
0,20.69,267,659.8,49.1,2020-01-17 13:38:12
0,20.3,272,659.8,47.5,2020-01-17 13:38:16
0,20.52,271,659.8,48.9,2020-01-17 13:38:20
0,21.37,267,659.8,48.6,2020-01-17 13:38:24
0,20.48,269,659.8,48.9,2020-01-17 13:38:29
0,19.46,267,659.8,49.3,2020-01-17 13:38:33
0,19.44,269,659.8,48.8,2020-01-17 13:38:37
0,19.98,270,659.8,50.9,2020-01-17 13:38:41
0,20.19,269,659.8,48.9,2020-01-17 13:38:45
0,20.24,266,659.8,49.3,2020-01-17 13:38:50
0,20.5,261,659.8,50.1,2020-01-17 13:38:54
0,21.14,265,659.8,50.4,2020-01-17 13:38:58
0,21.38,269,659.8,48.3,2020-01-17 13:39:02
0,21.21,267,659.8,48.9,2020-01-17 13:39:06
0,20.96,269,659.8,48.9,2020-01-17 13:39:10
0,20.42,272,659.8,48,2020-01-17 13:39:15
0,20.23,265,659.8,48.3,2020-01-17 13:39:19
0,20.64,265,659.8,48.8,2020-01-17 13:39:23
0,20.8,265,659.8,48.1,2020-01-17 13:39:27
0,20.83,272,659.8,48.5,2020-01-17 13:39:31
0,21.94,266,659.8,47.5,2020-01-17 13:39:36
0,22.62,266,659.8,51.8,2020-01-17 13:39:40
0,23.19,272,659.8,48,2020-01-17 13:39:44
0,22.66,266,659.8,48.1,2020-01-17 13:39:48
0,22.34,272,659.8,46.7,2020-01-17 13:39:52
0,22.8,273,659.8,47.6,2020-01-17 13:39:57
0,23.28,272,659.8,48.9,2020-01-17 13:40:01
0,23.06,269,659.8,49.9,2020-01-17 13:40:05
0,23.12,266,659.8,48.9,2020-01-17 13:40:09
0,23.27,265,659.8,47.8,2020-01-17 13:40:13
0,23.11,266,659.8,49.4,2020-01-17 13:40:18
0,23.29,267,659.8,48.5,2020-01-17 13:40:22
0,23.32,266,659.8,47.5,2020-01-17 13:40:26
0,23.33,271,659.8,47.5,2020-01-17 13:40:30
0,23.58,269,659.8,48.3,2020-01-17 13:40:34
0,24.31,272,659.8,48.9,2020-01-17 13:40:39
0,24.15,263,659.8,48.9,2020-01-17 13:40:43
0,23.83,269,659.8,48.9,2020-01-17 13:40:47
0,23.8,272,659.8,48.6,2020-01-17 13:40:51
0,22.05,269,659.8,46.5,2020-01-17 13:40:55
0,20.42,269,659.8,46.4,2020-01-17 13:41:00
0,20.63,270,659.8,49.3,2020-01-17 13:41:04
0,20.89,266,659.8,48,2020-01-17 13:41:08
0,20.54,271,659.8,48.9,2020-01-17 13:41:12
0,20.39,268,659.8,47.8,2020-01-17 13:41:16
0,20.12,269,659.8,47.8,2020-01-17 13:41:22
0,21.48,265,659.8,47.5,2020-01-17 13:41:26
0,22.95,268,659.8,48.3,2020-01-17 13:41:30
0,22.09,267,659.8,49.6,2020-01-17 13:41:34
0,21.72,272,659.8,48.6,2020-01-17 13:41:39
0,21.97,264,659.8,47.8,2020-01-17 13:41:43
0,22.04,268,659.8,48.1,2020-01-17 13:41:47
0,22.12,272,659.8,47.3,2020-01-17 13:41:51
0,22.23,270,659.8,47.8,2020-01-17 13:41:55
0,21.42,267,659.8,49.1,2020-01-17 13:42:00
0,20.82,267,659.8,48.8,2020-01-17 13:42:04
0,19.95,272,659.8,48.9,2020-01-17 13:42:08
0,19.05,274,659.8,47.2,2020-01-17 13:42:12
0,19.15,267,659.8,47.8,2020-01-17 13:42:17
0,19.76,266,659.8,49.4,2020-01-17 13:42:21
0,20.21,270,659.8,49.1,2020-01-17 13:42:26
0,20.88,270,659.8,48.6,2020-01-17 13:42:30
0,21.56,267,659.8,48,2020-01-17 13:42:34
0,19.06,272,659.8,48.9,2020-01-17 13:42:38
0,17.17,266,659.8,48,2020-01-17 13:42:43
0,16.86,267,659.8,49.9,2020-01-17 13:42:47
0,16.63,268,659.8,48.1,2020-01-17 13:42:51
0,16.62,269,659.8,48.9,2020-01-17 13:42:55
0,16.36,263,659.8,49.1,2020-01-17 13:42:59
0,16.2,268,659.8,48.8,2020-01-17 13:43:04
0,15.85,265,659.8,46.2,2020-01-17 13:43:09
0,15.93,266,659.8,48.1,2020-01-17 13:43:13
0,15.74,267,659.8,47.8,2020-01-17 13:43:17
0,16.19,267,659.8,48,2020-01-17 13:43:21
0,15.79,267,659.8,48.1,2020-01-17 13:43:25
0,15.89,272,659.8,48.9,2020-01-17 13:43:29
0,16.05,272,659.8,49.9,2020-01-17 13:43:34
0,16.2,269,659.8,48.1,2020-01-17 13:43:38
0,16.39,263,659.8,48.6,2020-01-17 13:43:42
0,16.5,268,659.8,48.1,2020-01-17 13:43:46
0,16.38,272,659.8,49.1,2020-01-17 13:43:50
0,16.43,270,659.8,47.5,2020-01-17 13:44:00
0,16.66,272,659.8,47.5,2020-01-17 13:44:04
0,16.56,267,659.8,47.8,2020-01-17 13:44:08
0,16.48,266,659.8,49.1,2020-01-17 13:44:12
0,16.12,266,659.8,50.7,2020-01-17 13:44:16
0,15.72,271,659.8,48,2020-01-17 13:44:22
0,15.43,266,659.8,48.9,2020-01-17 13:44:26
0,15.32,267,659.8,44.6,2020-01-17 13:44:30
0,15.47,271,659.8,47.3,2020-01-17 13:44:34
0,15.74,269,659.8,47.8,2020-01-17 13:44:39
0,15.46,269,659.8,47.8,2020-01-17 13:44:43
0,14.97,272,659.8,48.9,2020-01-17 13:44:47
0,14.62,265,659.8,50.1,2020-01-17 13:44:51
0,14.38,267,659.8,48.8,2020-01-17 13:44:55
0,14.26,267,659.8,49.3,2020-01-17 13:45:00
0,14.8,266,659.8,47.3,2020-01-17 13:45:04
0,15.6,272,659.8,51.5,2020-01-17 13:45:08
0,15.75,270,659.8,47.3,2020-01-17 13:45:14
0,15.6,270,659.8,48.1,2020-01-17 13:45:18
0,15.62,266,659.8,48.6,2020-01-17 13:45:22
0,15.63,271,659.8,48.5,2020-01-17 13:45:26
0,15.65,270,659.8,48.9,2020-01-17 13:45:30
0,15.68,272,659.8,48.1,2020-01-17 13:45:35
0,15.84,270,659.8,48.1,2020-01-17 13:45:39
0,15.99,271,659.8,48,2020-01-17 13:45:43
0,16,273,659.8,48.6,2020-01-17 13:45:47
0,16.16,267,659.8,48.9,2020-01-17 13:45:52
0,16.39,269,659.8,48.9,2020-01-17 13:45:56
0,16.51,266,659.8,47.8,2020-01-17 13:46:00
0,16.73,269,659.8,49.3,2020-01-17 13:46:04
0,16.35,272,659.8,48.8,2020-01-17 13:46:08
0,16.62,272,659.8,48.1,2020-01-17 13:46:12
0,16.73,269,659.8,48.8,2020-01-17 13:46:17
0,16.74,268,659.8,47.6,2020-01-17 13:46:21
0,16.62,269,659.8,48.1,2020-01-17 13:46:25
0,16.57,265,659.8,48.9,2020-01-17 13:46:29
0,16.53,268,659.8,42.7,2020-01-17 13:46:36
0,16.76,269,659.8,48,2020-01-17 13:46:44
0,17.17,271,659.8,49.7,2020-01-17 13:46:48
0,17.41,266,659.8,48.1,2020-01-17 13:46:53
0,17.62,268,659.8,48.1,2020-01-17 13:46:57
0,17.45,269,659.8,50.4,2020-01-17 13:47:06
0,15.89,272,659.8,48.6,2020-01-17 13:47:10
0,15.89,265,659.8,49.4,2020-01-17 13:47:14
0,16.15,263,659.8,48,2020-01-17 13:47:18
0,16.35,266,659.8,48,2020-01-17 13:47:22
0,15.7,272,659.8,49.3,2020-01-17 13:47:27
0,15.57,272,659.8,47.2,2020-01-17 13:47:31
0,15.76,267,659.8,51.5,2020-01-17 13:47:35
0,15.57,263,659.8,47.5,2020-01-17 13:47:39
0,15.91,270,659.8,48.6,2020-01-17 13:47:43
0,16.25,266,659.8,48.9,2020-01-17 13:47:48
0,16.88,269,659.8,48.5,2020-01-17 13:47:52
0,17.83,267,659.8,48.9,2020-01-17 13:47:56
0,18.2,267,659.8,48.9,2020-01-17 13:48:01
0,18.66,267,659.8,51.4,2020-01-17 13:48:06
0,18.85,271,659.8,47.5,2020-01-17 13:48:12
0,19.58,269,659.8,49.7,2020-01-17 13:48:17
0,20.11,272,659.8,48.8,2020-01-17 13:48:21
0,20.45,273,659.8,46.5,2020-01-17 13:48:26
0,20.96,269,659.8,49.9,2020-01-17 13:48:30
0,21.57,269,659.8,47.8,2020-01-17 13:48:34
0,21.88,269,659.8,48.9,2020-01-17 13:48:39
0,22.51,266,659.8,48,2020-01-17 13:48:43
0,22.77,269,659.8,49.3,2020-01-17 13:48:50
0,21.36,272,659.8,48.9,2020-01-17 13:48:54
0,19.72,266,659.8,48.9,2020-01-17 13:48:59
0,18.29,272,659.8,46.2,2020-01-17 13:49:06
0,17.03,269,659.8,48.9,2020-01-17 13:49:13
0,16.47,271,659.8,49.3,2020-01-17 13:49:18
0,16.18,266,659.8,48,2020-01-17 13:49:29
0,16.08,266,659.8,47.2,2020-01-17 13:49:33
0,15.93,266,659.8,48.9,2020-01-17 13:49:37
0,15.8,261,659.8,48.5,2020-01-17 13:49:42
0,15.56,266,659.8,48.9,2020-01-17 13:49:46
0,15.52,267,659.8,48.9,2020-01-17 13:49:50
0,15.35,263,659.8,48.9,2020-01-17 13:49:54
0,15.08,266,659.8,48.3,2020-01-17 13:49:58
0,14.91,266,659.8,47.3,2020-01-17 13:50:03
0,14.79,266,659.8,48.9,2020-01-17 13:50:07
0,14.67,266,659.8,47.2,2020-01-17 13:50:11
0,14.57,263,659.8,48.9,2020-01-17 13:50:15
0,14.4,265,659.8,47.2,2020-01-17 13:50:19
0,14.3,268,659.8,48.9,2020-01-17 13:50:24
0,14.23,263,659.8,53.8,2020-01-17 13:50:28
0,14.16,270,659.8,48.1,2020-01-17 13:50:32
0,14.11,267,659.8,47.8,2020-01-17 13:50:36
0,13.9,272,659.8,48.9,2020-01-17 13:50:40
0,14.1,272,659.8,48.9,2020-01-17 13:50:45
0,14.14,266,659.8,48.9,2020-01-17 13:50:49
0,13.73,262,659.8,48.6,2020-01-17 13:50:53
0,13.94,267,659.8,49.1,2020-01-17 13:51:01
0,14.2,264,659.8,48.1,2020-01-17 13:51:05
0,14.28,266,659.8,48.9,2020-01-17 13:51:13
0,14.61,272,659.8,48.5,2020-01-17 13:51:25
0,14.95,266,659.8,48.9,2020-01-17 13:51:30
0,15,269,659.8,48.1,2020-01-17 13:51:37
0,15.17,269,659.8,48,2020-01-17 13:51:47
0,15.1,265,659.8,48.8,2020-01-17 13:51:53
0,15.4,265,659.8,48,2020-01-17 13:52:04
0,15.71,272,659.8,49.1,2020-01-17 13:52:10
0,15.92,272,659.8,48.9,2020-01-17 13:52:15
0,16.02,269,659.8,48.9,2020-01-17 13:52:19
0,16.08,262,659.8,49.4,2020-01-17 13:52:29
0,15.79,272,659.8,49.4,2020-01-17 13:52:35
0,15.91,263,659.8,49.9,2020-01-17 13:52:43
0,16.33,265,659.8,50.5,2020-01-17 13:52:48
0,16.61,268,659.8,49.3,2020-01-17 13:52:53
0,16.81,267,659.8,48.6,2020-01-17 13:53:03
0,16.81,268,659.8,48,2020-01-17 13:53:10
0,17.57,268,659.8,49.9,2020-01-17 13:53:15
0,18.23,272,659.8,47.5,2020-01-17 13:53:26
0,18.77,267,659.8,48.9,2020-01-17 13:53:37
0,20.1,267,659.8,47.5,2020-01-17 13:53:44
0,20.68,272,659.8,46.5,2020-01-17 13:53:48
0,20.92,265,659.8,47.3,2020-01-17 13:53:53
0,21.05,266,659.8,50.5,2020-01-17 13:53:57
0,21.42,268,659.8,48.6,2020-01-17 13:54:01
0,21.41,265,659.8,48.9,2020-01-17 13:54:05
0,21.37,268,659.8,45.4,2020-01-17 13:54:09
0,21.32,270,659.8,49.4,2020-01-17 13:54:18
0,20.71,270,659.8,47.3,2020-01-17 13:54:22
0,21.17,270,659.8,48.9,2020-01-17 13:54:27
0,21.04,266,659.8,48,2020-01-17 13:54:31
0,20.97,268,659.8,48.6,2020-01-17 13:54:38
0,20.95,266,659.8,47,2020-01-17 13:54:42
0,20.87,272,659.8,52.3,2020-01-17 13:54:47
0,20.85,265,659.8,48.6,2020-01-17 13:54:51
0,20.97,272,659.8,49.1,2020-01-17 13:55:00
0,20.79,266,659.8,48.9,2020-01-17 13:55:11
0,20.45,268,659.8,48.5,2020-01-17 13:55:30
0,19.73,272,659.8,49.7,2020-01-17 13:55:36
0,19.42,265,659.8,48.3,2020-01-17 13:55:41
0,19.11,272,659.8,49.4,2020-01-17 13:55:45
0,19.18,272,659.8,48.9,2020-01-17 13:56:05
0,20.18,266,659.8,47,2020-01-17 13:56:15
0,20.11,268,659.8,50.4,2020-01-17 13:56:20
0,20.12,267,659.8,48.9,2020-01-17 13:56:25
0,20.09,271,659.8,46.8,2020-01-17 13:56:29
0,20.07,269,659.8,49.6,2020-01-17 13:56:33
0,20.06,272,659.8,48.9,2020-01-17 13:56:38
0,19.75,263,659.8,48.1,2020-01-17 13:56:42
0,19.97,266,659.8,48.9,2020-01-17 13:56:46
0,19.91,271,659.8,47.2,2020-01-17 13:56:50
0,19.99,266,659.8,48.6,2020-01-17 13:56:54
0,20.03,263,659.8,49.3,2020-01-17 13:56:59
0,20.01,266,659.8,51,2020-01-17 13:57:03
0,19.95,259,659.8,49.4,2020-01-17 13:57:07
0,19.89,266,659.8,48.1,2020-01-17 13:57:11
0,19.84,266,659.8,48.9,2020-01-17 13:57:15
0,19.75,266,659.8,48.9,2020-01-17 13:57:20
0,19.77,266,659.8,48.9,2020-01-17 13:57:24
0,19.66,263,659.8,47.5,2020-01-17 13:57:28
0,19.61,267,659.8,48.3,2020-01-17 13:57:32
0,19.58,267,659.8,47.5,2020-01-17 13:57:36
0,19.51,267,659.8,46.5,2020-01-17 13:57:41
0,19.49,272,659.8,47.8,2020-01-17 13:57:45
0,19.48,271,659.8,48.6,2020-01-17 13:57:49
0,19.49,272,659.8,48.9,2020-01-17 13:57:53
0,19.41,267,659.8,48.8,2020-01-17 13:57:57
0,19.48,272,659.8,47.5,2020-01-17 13:58:02
0,19.46,272,659.8,48.6,2020-01-17 13:58:06
0,19.43,272,659.8,48,2020-01-17 13:58:10
0,19.39,269,659.8,48.9,2020-01-17 13:58:14
0,19.42,269,659.8,48.1,2020-01-17 13:58:21
0,19.34,265,659.8,48.9,2020-01-17 13:58:25
0,19.27,266,659.8,49.1,2020-01-17 13:58:29
0,19.13,269,659.8,49.1,2020-01-17 13:58:33
0,19.14,263,659.8,48,2020-01-17 13:58:37
0,19.14,270,659.8,48.6,2020-01-17 13:58:42
0,19.15,267,659.8,48.5,2020-01-17 13:58:46
0,19.1,267,659.8,48.9,2020-01-17 13:58:50
0,19.16,265,659.8,48.1,2020-01-17 13:58:54
0,19.04,267,659.8,48.6,2020-01-17 13:58:58
0,19,266,659.8,48.6,2020-01-17 13:59:02
0,18.97,267,659.8,49.4,2020-01-17 13:59:07
0,19.08,270,659.8,48,2020-01-17 13:59:11
0,19.31,262,659.8,47.8,2020-01-17 13:59:15
0,19.37,268,659.8,47.8,2020-01-17 13:59:19
0,19.35,265,659.8,48,2020-01-17 13:59:23
0,124.08,265,659.8,47.5,2020-01-17 15:55:18
0,124,265,659.8,48.3,2020-01-17 15:55:23
0,124.04,264,659.8,49.3,2020-01-17 15:55:27
0,124.24,265,659.8,49.4,2020-01-17 15:55:31
0,123.96,260,659.8,47.8,2020-01-17 15:55:35
0,125,266,659.8,48.9,2020-01-17 15:55:40
0,125.36,267,659.8,48.5,2020-01-17 15:55:44
0,125.56,269,659.8,48.6,2020-01-17 15:55:48
0,125.68,265,659.8,48.5,2020-01-17 15:55:52
0,125.88,266,659.8,45.6,2020-01-17 15:55:56
0,125.28,262,659.8,48.5,2020-01-17 15:56:01
0,125.36,269,659.8,48.9,2020-01-17 15:56:05
0,126.08,265,659.8,47.8,2020-01-17 15:56:09
